,ATSPM_ID,name,latitude,longitude,roadway_name
0,ORL-0352,SR 436 (Semoran Blvd) at T G Lee Blvd,28.460339,-81.310038,"S SEMORAN BLVD, TG LEE BLVD"
0,PCT-0001,US1 @ Palm Bay Road,28.036429,-80.582329,"DIXIE HWY NE, ORANGE BLOSSOM TRL NE"
0,ORC-0630,Orange Blossom Tr (US 17/92/441) & Wakulla Way,28.476273,-81.396684,"S ORANGE BLOSSOM TRL, WAKULLA WAY"
0,OSC-1115,Turnpike NB (SR 91) & Osceola Pkwy,28.3413,-81.3795,"FLORIDA'S TPKE, E OSCEOLA PKWY"
0,VOL-0337,Saxon Blvd & Veterans Memorial Pkwy,28.91129,-81.28142,"BROWARD AVE, SAXON BLVD, VETERANS MEMORIAL PKWY"
0,VOL-0110,Woodland Blvd (US 17/92) at SR 44 (New York Ave),29.028057,-81.30344,"S WOODLAND BLVD, W NEW YORK AVE"
0,ORL-0120,US-441 / Orange Blossom Trl at SR 50 (Colonial Dr.),28.552955,-81.395639,"ORANGE BLOSSOM TRL N, W COLONIAL DR"
0,BRE-1012,US 1 (N Cocoa Blvd) at Forrest Ave,28.368936,-80.735054,"N COCOA BLVD, FORREST AVE"
0,ORC-0190,Michigan St @ Westmoreland Dr,28.514646,-81.392872,"S WESTMORELAND DR, MICHIGAN ST W"
0,ORL-0204,US-17/92 /15/600 at Nebraska St.,28.56556,-81.364423,"NEBRASKA ST, MILLS AVE N"
0,ORC-0464,Rio Grande Av & L.B. McLeod Rd,28.510318,-81.401153,"LB MCLEOD RD, RIO GRANDE AVE S"
0,ORL-0256,Westmoreland Drive & Gore St,28.531165,-81.393011,"S WESTMORELAND DR, W GORE ST"
0,ORL-0776,Hoffner Ave (SR 15) at Old Goldenrod Rd,28.477096,-81.285411,HOFFNER AVE
0,ORC-0336,Colonial Dr E at Lake Pickett Rd,28.565297,-81.182384,"BRIDGWAY BLVD, E COLONIAL DR, LAKE PICKETT RD"
0,D5I-3060,Fairbanks Ave (SR 426) & New York Ave,28.593156,-81.352679,"S NEW YORK AVE, W FAIRBANKS AVE"
0,D5I-4035,SR50 (Colonial) at 9th St,28.551083,-81.575216,"9TH ST, W COLONIAL DR"
0,ORC-0263,SR 435 & SR 408 WB,28.549635,-81.456892,"N KIRKMAN RD, EAST-WEST EXPY"
0,OSC-2006,US 192 & Hoagland Blvd,28.3045,-81.445,"N HOAGLAND BLVD, W VINE ST"
0,ORC-0364,US 441 & St John Vianney (Ped Signal),28.468402,-81.396616,S ORANGE BLOSSOM TRL
0,BRE-5024,US 1 (Rockledge Blvd) at Rockledge Sq,28.328304,-80.72041,ROCKLEDGE BLVD
0,ORL-0061,Mills Ave at Robinson St,28.545855,-81.364373,"MILLS AVE N, E ROBINSON ST"
0,OSC-1101,Michigan Ave @ Carroll St,28.325556,-81.391279,"MICHIGAN AVE, E CARROLL ST"
0,VOL-0120,Clyde Morris Blvd (SR 483) & Aviation Center Pkwy\Bellevue Ave North,29.1846,-81.0425,"S CLYDE MORRIS BLVD, AVIATION CENTER PKWY, BELLEVUE AVE"
0,2230,Lake Emma Rd at Green Way Blvd,28.733601,-81.358637,"LAKE EMMA RD, GREENWAY BLVD"
0,ORC-0493,International Dr & Westwood Blvd,28.39221,-81.467403,"INTERNATIONAL DR S, WESTWOOD BLVD"
0,ORC-0306,SR 50 at Turnpike NB Ramp,28.549362,-81.63794,"FLORIDA'S TPKE, W COLONIAL DR"
0,1915,CR-427- Ronald Reagan @ Longwood / lake mary rd,28.72058,-81.336948,"N RONALD REAGAN BLVD, LONGWOOD LAKE MARY RD"
0,OSC-1047,US 192 & Black Lake Rd,28.346509,-81.605448,"W IRLO BRONSON MEMORIAL HWY, BLACK LAKE RD"
0,D5I-4090,SR 438 & Bluford Ave,28.57379,-81.544249,"N BLUFORD AVE, W SILVER STAR RD"
0,VOL-0298,Lytle Ave (SR 44/A1A) at Live Oak St,29.022128,-80.922071,"LIVE OAK ST, SOUTH CSWY"
0,ORC-0617,Avalon Park Blvd At Golden Isle,28.542751,-81.154247,"S AVALON PARK BLVD, GOLDEN ISLE BLVD"
0,ORC-0156,Westmoreland Drive & Kaley Ave,28.520081,-81.392904,"W KALEY ST, S WESTMORELAND DR"
0,MEL-4063,US 1 & W H Jackson St-Line St,28.071427,-80.600925,"IRWIN ST, S HARBOR CITY BLVD"
0,OSC-1144,US 192/441 & CR 534 (Old Hickory Tree Rd),28.246,-81.256,"OLD HICKORY TREE RD, E IRLO BRONSON MEMORIAL HWY"
0,MEL-3055,N Harbor City Blvd (US 1) & Eau Gallie Blvd (SR 518),28.129038,-80.630263,"N HARBOR CITY BLVD, EAU GALLIE BLVD W"
0,1975,HE Thomas Jr Pkwy & Casa Verde Blvd,28.786432,-81.305655,"W 25TH ST, CASA VERDE BLVD"
0,ORC-0030,Goldenrod Rd & Bates Rd,28.582924,-81.286242,"N GOLDENROD RD, BATES RD"
0,1610,SR 436 & Sausalito Blvd,28.64436,-81.32226,"E SEMORAN BLVD, SAUSALITO BLVD"
0,ORC-0429,International Dr & Convention Way,28.425636,-81.465634,"CONVENTION WAY, INTERNATIONAL DR"
0,VOL-0309,Woodland Blvd (US 17) at Glenwood Rd,29.0719,-81.3059,"N WOODLAND BLVD, GLENWOOD RD"
0,1780,SR 426 & Tuskawilla Rd,28.61863,-81.26606,"TUSKAWILLA RD S, ALOMA AVE, TUSKAWILLA RD"
0,ORC-0650,Econlockhatchee at Shepton St,28.550436,-81.252755,"ECONLOCKHATCHEE TRL N, SHEPTON ST"
0,BRE-5540,SR 50 at SB I-95,28.55159,-80.852054,"I-95, CHENEY HWY"
0,ORL-0563,Vineland Rd & Major Blvd,28.482924,-81.455428,"VINELAND RD, MAJOR BLVD"
0,ORL-0248,US-441 / Orange Blossom Trl at Carter St & Long St,28.535166,-81.397198,"EAST-WEST EXPY, S ORANGE BLOSSOM TRL, LONG ST, CARTER ST"
0,ORL-0334,Curry Ford Rd (SR 552) at Dixie Belle Dr/Bahia Ave,28.524366,-81.314277,"DIXIE BELLE DR, BAHIA AVE, CURRY FORD RD"
0,1475,SR-436 at Laurel St / San Sebastian Prado,28.665033,-81.414467,"LAUREL ST, SEMORAN BLVD, SAN SEBASTIAN CT E"
0,ORC-0665,Econlockhatchee at Wal Mart,28.51218,-81.256562,"ECONLOCKHATCHEE TRL S, TUSCAN VALLEY PL"
0,ORC-0222,Rio Grande Ave & Silver Star Rd,28.578259,-81.401909,"N RIO GRANDE AVE, SILVER STAR RD"
0,VOL-0346,Granada Blvd (SR 40) at Booth Rd,29.255664,-81.120637,"BOOTH RD, W GRANADA BLVD"
0,BRE-0353,Pineda Causeway & Wicham Rd,28.2009,-80.671984,"N WICKHAM RD, SR-404"
0,BRE-0006,Dairy Rd at N Singleton Ave,28.637126,-80.846096,"N SINGLETON AVE, DAIRY RD"
